"Acronym","Data_ZipUrl","DatasetKey","Description_En","Description_Es","Description_Fr","Identifier","Name_En","Name_Es","Name_Fr","Provider","Query_Panel","Query_Panel_order","SWS_TableName","isFishStatJ"
"QUANTITY","https://www.fao.org/fishery/static/Data/Aquaculture_2022.1.0.zip","1","Global aquaculture production (Quantity)","Producción mundial de acuicultura (Cantidad)","Production mondiale de l'aquaculture (Quantité)","1010","Quantity (1950 - 2020)","Cantidad (1950 - 2020)","Quantité (1950 - 2020)","FAO","true","12","aqua","true"
"VALUE","https://www.fao.org/fishery/static/Data/Aquaculture_2022.1.0.zip","1","Global aquaculture production (Value)","Producción mundial de acuicultura (Valor)","Production mondiale de l'aquaculture (Valeur)","1020","Value (1984 - 2020)","Valor (1984 - 2020)","Valeur (1984 - 2020)","FAO","true","13","aquaculture_value","true"
"AQUACULTURE","","1","Global aquaculture production (Quantity)","Producción mundial de acuicultura (Cantidad)","Production mondiale de l'aquaculture (Quantité)","1030","Quantity (1950 - 2019)","Cantidad (1950 - 2019)","Quantité (1950 - 2019)","FAO","false","11","","false"
"QUANTITY","https://www.fao.org/fishery/static/Data/Capture_2022.1.0.zip","2","Global capture production","Capturas mundiales","Captures mondiales","2001","Quantity (1950 - 2020)","Cantidad (1950 - 2020)","Quantité (1950 - 2020)","FAO","true","14","capture","true"
"QUANTITY","https://www.fao.org/fishery/static/Data/GlobalProduction_2022.1.0.zip","3","Global production (by production source)","Production mondiale (par source de production)","Producción mundial (por origen de producción)","3001","Quantity (1950 - 2020)","Cantidad (1950 - 2020)","Quantité (1950 - 2020)","FAO","true","10","","true"
"QUANTITY","","4","Global commodities production and trade (Quantity)","Producción y comercio de productos pesqueros (Cantidad)","Production et commerce des produits de la pêche (Quantité)","4001","Quantity (1976 - 2018)","Cantidad (1976 - 2018)","Quantité (1976 - 2018)","FAO","false","","","true"
"VALUE","","4","Global commodities production and trade (Value)","Producción y comercio de productos pesqueros (Valor)","Production et commerce des produits de la pêche (Valeur)","4002","Value (1976 - 2018)","Valor (1976 - 2018)","Valeur (1976 - 2018)","FAO","false","","","true"
"QUANTITY","https://www.fao.org/fishery/static/Data/FI_Regional_2022.1.0.zip","5","CECAF (Eastern Central Atlantic) capture production","Capturas CPACO (Atlántico centro-oriental)","Captures COPACE (Atlantique centre-est)","5001","Quantity (1970 - 2020)","Cantidad (1970 - 2020)","Quantité (1970 - 2020)","FAO","true","41","fi_capture_cecaf","true"
"QUANTITY","https://www.fao.org/fishery/static/Data/FI_Regional_2022.1.0.zip","6","GFCM (Mediterranean and Black Sea) capture production","Capturas CGPM (Mediterráneo y Mar Negro)","Captures CGPM (Méditerranée et mer Noire)","6001","Quantity (1970 - 2020)","Cantidad (1970 - 2020)","Quantité (1970 - 2020)","FAO","true","42","fi_capture_gfcm","true"
"QUANTITY","https://www.fao.org/fishery/static/Data/FI_Regional_2022.1.0.zip","7","RECOFI capture production","Capturas COREPESCA","Captures CORÉPÊCHES","7001","Quantity (1986 - 2020)","Cantidad (1986 - 2020)","Quantité (1986 - 2020)","FAO","true","43","fi_capture_recofi","true"
"QUANTITY","https://www.fao.org/fishery/static/Data/FI_Regional_2022.1.0.zip","8","Southeast Atlantic capture production","Capturas del Atlántico sudoriental","Captures de l'Atlantique sud-est","8001","Quantity (1975 - 2020)","Cantidad (1975 - 2020)","Quantité (1975 - 2020)","FAO","true","44","fi_capture_seatl","true"
"QUANTITY","","9","FBS - Total quantity","FBS - Cantidad total","FBS - Quantité totale","9001","Quantity (1961 - 2017)","Cantidad (1961 - 2017)","Quantité (1961 - 2017)","FAO","false","","","true"
"NUMBER","","10","World population","Población mundial","Population mondiale","9011","Number (1961 - 2017)","Numero (1961 - 2017)","Nombre (1961 - 2017)","FAO","false","","","true"
"QUANTITY","https://www.fao.org/fishery/static/Data/FI_Trade_Partners_2021.1.0.zip","11","Fish trade - By partner country (Quantity)","Comercio de pescado - Por país socio (Cantidad)","Commerce de poisson - Par pays partenaire (Quantité)","11001","Quantity (2019 - 2020)","Cantidad (2019 - 2020)","Quantité (2019 - 2020)","FAO","true","21","","true"
"VALUE","https://www.fao.org/fishery/static/Data/FI_Trade_Partners_2021.1.0.zip","11","Fish trade - By partner country (Value)","Comercio de pescado - Por país socio (Valor)","Commerce de poisson - Par pays partenaire (Valeur)","11011","Value (2019 - 2020)","Valor (2019 - 2020)","Valeur (2019 - 2020)","FAO","true","22","","true"
"QUANTITY","https://www.fao.org/fishery/static/Data/FI_Trade_2021.1.0.zip","12","Fish trade - All partners aggregated (Quantity)","Comercio pesquero - Todos los socios agregados (Cantidad)","Commerce du poisson - Tous les partenaires regroupés (Quantité)","12001","Quantity (1976 - 2020)","Cantidad (1976 - 2020)","Quantité (1976 - 2020)","FAO","true","23","","true"
